Point Name,Code,Original Latitude,Original Longitude,Original Altitude,Station Correction x,Station Correction y,Station Correction h,Latitude,Longitude,Altitude,Antenna Height,Northing,Easting,Elevation,Solution Status,Used satellites,Tracked satellites,PDOP,HRMS,VRMS,AGE,Local date,Local time,Base ID,Base Latitude,Base Longitude,Base Altitude,Base North,Base East,Base Height,Distance to Ref,Inclination correction,Inclined angle,Projected angle,Correction x,Correction y,Correction h,Target,Station.,Offset,Elevation diff.,Dist to start,Tower Name,Tower No.,Azimuth,Pitch Angle
Pt1,,42°19'43.0662",21°08'47.2266",670.991,0.000,0.000,0.000,42°19'43.0662",21°08'47.2266",670.991,2.07,4687681.459,7512069.809,670.991,FIXED,27,31,0.96,0.006,0.006,1,2026-02-21,12:11:26,2441,42°19'42.6475",21°08'48.0245",670.371,4687668.573,7512088.097,670.371,22.537,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,670.991,,,,125°10'08.993",-1°35'16.1245"
Pt2,,42°19'43.0281",21°08'46.8238",672.250,0.000,0.000,0.000,42°19'43.0281",21°08'46.8238",672.250,2.07,4687680.268,7512060.590,672.250,FIXED,27,31,0.96,0.007,0.006,1,2026-02-21,12:12:28,2441,42°19'42.6475",21°08'48.0245",670.371,4687668.573,7512088.097,670.371,30.155,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,672.25,,,,113°02'06.0497",-3°35'23.7273"
Pt3,,42°19'42.4541",21°08'46.9228",672.459,0.000,0.000,0.000,42°19'42.4541",21°08'46.9228",672.459,2.07,4687662.562,7512062.887,672.459,FIXED,27,31,0.99,0.005,0.005,1,2026-02-21,12:13:41,2441,42°19'42.6475",21°08'48.0245",670.371,4687668.573,7512088.097,670.371,26.253,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,672.459,,,,76°35'22.8706",-4°35'23.0166"
Pt4,,42°19'42.4520",21°08'46.5485",673.394,0.000,0.000,0.000,42°19'42.4520",21°08'46.5485",673.394,2.07,4687662.484,7512054.317,673.394,FIXED,28,31,1,0.005,0.005,1,2026-02-21,12:16:56,2441,42°19'42.6475",21°08'48.0245",670.371,4687668.573,7512088.097,670.371,34.706,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,673.394,,,,79°46'57.916",-5°00'48.3845"
Pt5,,42°19'42.4495",21°08'46.1467",674.588,0.000,0.000,0.000,42°19'42.4495",21°08'46.1467",674.588,2.07,4687662.389,7512045.120,674.588,FIXED,26,29,1.02,0.005,0.005,1,2026-02-21,12:19:30,2443,42°19'42.4376",21°08'46.1514",676.992,4687662.024,7512045.227,676.992,0.507,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,674.588,,,,163°35'01.7639",44°38'46.4069"
Pt6,,42°19'42.4470",21°08'45.7172",675.935,0.000,0.000,0.000,42°19'42.4470",21°08'45.7172",675.935,2.07,4687662.296,7512035.286,675.935,FIXED,26,29,1.02,0.006,0.006,1,2026-02-21,12:20:27,2443,42°19'42.4376",21°08'46.1514",676.992,4687662.024,7512045.227,676.992,9.998,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,675.935,,,,91°33'48.8634",6°01'51.1146"
Pt7,,42°19'42.4441",21°08'45.2491",677.121,0.000,0.000,0.000,42°19'42.4441",21°08'45.2491",677.121,2.07,4687662.188,7512024.571,677.121,FIXED,26,30,1.12,0.005,0.006,1,2026-02-21,12:21:21,2443,42°19'42.4376",21°08'46.1514",676.992,4687662.024,7512045.227,676.992,20.778,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,677.121,,,,90°27'14.1517",-0°21'30.7621"
Pt8,,42°19'42.8716",21°08'45.1757",676.860,0.000,0.000,0.000,42°19'42.8716",21°08'45.1757",676.860,2.07,4687675.375,7512022.867,676.860,FIXED,26,29,1.03,0.004,0.005,1,2026-02-21,12:22:30,2443,42°19'42.4376",21°08'46.1514",676.992,4687662.024,7512045.227,676.992,26.12,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,676.86,,,,120°50'24.606",0°17'28.401"
Pt9,,42°19'42.9999",21°08'45.1534",676.828,0.000,0.000,0.000,42°19'42.9999",21°08'45.1534",676.828,2.07,4687679.333,7512022.351,676.828,FIXED,29,31,1.03,0.005,0.006,1,2026-02-21,12:23:24,2443,42°19'42.4376",21°08'46.1514",676.992,4687662.024,7512045.227,676.992,28.756,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,676.828,,,,127°06'41.7766",0°19'41.8155"
Pt10,,42°19'42.9152",21°08'45.6358",675.489,0.000,0.000,0.000,42°19'42.9152",21°08'45.6358",675.489,2.07,4687676.738,7512033.399,675.489,FIXED,27,30,1.04,0.006,0.007,1,2026-02-21,12:24:23,2443,42°19'42.4376",21°08'46.1514",676.992,4687662.024,7512045.227,676.992,18.891,0,0°00'00",0°00'00",0.00000000,0.00000000,0,,0,0,675.489,,,,141°12'14.8863",4°32'08.6408"
