Nr,Y,X,H,Kodi,Burimi,Saktesia(cm),Besueshmeria
1,7512022.349,4687679.339,676.828,2,1,3,1
2,7512022.863,4687675.372,676.86,2,1,3,1
3,7512024.573,4687662.196,677.121,2,1,3,1
4,7512035.285,4687662.3,675.935,2,1,3,1
5,7512033.412,4687676.741,675.489,2,1,3,1
6,7512043.108,4687677.999,675.53,2,1,3,1
7,7512045.132,4687662.396,674.588,2,1,3,1
8,7512054.294,4687662.484,673.394,2,1,3,1
9,7512052.129,4687679.169,672.421,2,1,3,1
10,7512060.595,4687680.268,672.25,2,1,3,1
11,7512062.891,4687662.568,672.459,2,1,3,1
12,7512069.82,4687681.465,670.991,2,1,3,1
